,#3,,,#2,,,#1
0,		6.5,	18.25,,	7.75,	16.75,,	x
2.5,	6.5,	18.25,,	7.75,	16.75,,	x
5,		6.75,	18.25,,	7.75,	16.75,,	x
7.5,	6.75,	18,,	8,		16.75,,	x
10,		6.25,	18.25,,	7.75,	16.75,,
12.5,	6.25,	18.75,,	8,		16.75,,
15,		6.25,	18,,	7.75,	16.75,,
17.5,	6.25,	18,,	7.75,	16.75,,
20,		6.25,	18.5,,	7.75,	16.75,,
22.5,	6,		18.25,,	7.75,	16.75,,
25,		6.25,	18.25,,	7.75,	16.75,,
27.5,	6,		18.5,,	7.75,	16.75,,
30,		6.25,	18.25,,	8,		16.75,,
32.5,	6.25,	18.25,,	7.75,	16.75,,
35,		6.5,	18.25,,	7.75,	17,,
37.5,	6.5,	18.25,,	7.75,	17,,
40,		6.5,	18,,	7.75,	17,,
42.5,	7.5,	17.25,,	7.5,	17.25,,
45,		6.75,	18.25,,	7.5,	17,,
47.5,	6.75,	18,,	7.5,	17,,
50,		6.75,	18,,	7.5,	17.25,,
52.5,	6.75,	18,,	7.5,	17.25,,
55,		6.75,	18,,	7.5,	17.25,,
57.5,	6.75,	18,,	7.5,	17.25,,
60,		6.75,	18,,	7.5,	17.5,,
62.5,	6.75,	18,,	7.25,	17.25,,
65,		6.75,	18,,	7.5,	17.25,,
67.5,	6.75,	18,,	7.75,	17,,
70,		6.75,	18,,	8,		16.5,,
72.5,	7,		17.75,,	7.5,	17.5,,
75,		6.75,	18,,	7.25,	17.5,,
77.5,	6.75,	18,,	7.25,	17.25,,
80,		6.75,	17.75,,	7.5,	17.5,,
82.5,	6.75,	18,,	7.75,	17,,
85,		6.75,	18.25,,	7.75,	17,,
87.5,	6.75,	18,,	7.75,	17,,
90,		6.5,	18,,	7.75,	17,,
92.5,	6.5,	18.25,,	7.75,	17,,
95,		6.5,	18.25,,	7.75,	17.25,,
97.5,	6.5,	18.25,,	7.75,	17,,
